document_id,clean_text,sentiment
17,existem diversa problemática atualment que influenciam dia dia ser humano dentro da sociedad principai e mai grave se referem mudança climática e desastr naturai que fogem control e acabam causando dano que demoram um longo período para se normalizar problema de queimada brasil é recorrent devido à localização geográfica paí porém em cenário se agrav e foram queimado mai de milhõ de hectar milhõ de hectar mai que fazendo com que sociedad voltass sua atençõ para est problema gerando discussõ em prol de melhoria atravé da tecnologia é possível prever e reduzir um possível agravamento de situaçõ que podem ter um potenci muito grand de devastação e com est trabalho além de discutir problema será possível visualizar uso de inteligência artifici voltado para est cenário tão important paí atravé aprendizado de máquina é possível identificar foco de queimada em foto fazendo com que monitoramento seja aprimorado e que ocorra alarm para uma situação que pode ser evitada ao final trabalho leitor estará por dentro cenário atual de queimada paí e também entenderá diferent forma de se aplicar aprendizado de máquina especialment cenário de identificação de imagen utilizando yolo,Positive
18,nowaday mani platform provid open educ resourc learner must brow explor sever suggest content better assimil cours facilit select task resourc present paper propos intellig tutor system access teach content avail web automat offer learner addit inform sourc author highlight descript logic approach knowledg represent strength underwrit modul infer queri web ontolog languag enhanc tradit tutor system architectur use ontolog descript logic enabl access variou data sourc web final articl conclud combin machin learn semant web provid support studi environ enhanc school condit within open distanc learn,Positive
19,paper scrutin factor dole significantli augment risk hepatitisc viru dataset taken machin learn warehous univers california contain nineteen featur along class featur binari classif total binari attribut togeth class attribut continu attribut dataset contain record order prevail miss valu problem data normal techniqu appli first dimens problem trim next binari logist regress appli classifi case use qualit quantit approach data reduct three stage procedur produc accur classif propos approach low featur complex good classif rate work use total field,Positive
20,glioma common primari malign brain tumor glioblastoma gbm aggress subtyp gbm character high recurr rate treatment resist lead poor patient outcom current prognost model limit predict power underscor need elucid underli mechan identifi novel biomark improv therapeut strategi prognost modelsgen express clinic data gbm lgg obtain tcga cgga databas singlecel sequenc data gse select geo databas molecular characterist glioma reveal normal consensu cluster analysi immun score cell infiltr analysi pathway analysi tubab identifi key gene machin learn incorpor nomogram model use multivari cox regress function valid qrtpcr vitro function assay mous xenograft model data analys statist perform use r softwareconsensu cluster tcga glioma dataset identifi two aggrephagi subtyp c c c show wors surviv outcom higher immun infiltr tubab identifi independ prognost marker high express associ upregul cell cycl pathway alter immun microenviron tubab shown influenc glioma cell prolifer migrat invas autophagi impact tumor progress treatment respons intercellular commun metabol pathwaysth studi demonstr high tubab express close associ glioma malign poor prognosi make potenti therapeut target,Negative
21,abstract background telemedicin one major chang clinician encount past decad particular covid pandem televisit rapidli implement guarante patient assist intent health care provid hcp continu use beyond pandem aim nation survey evalu current usag telemedicin ibd patient perspect investig patient impress telemedicin factor affect machin learn ml analysi method march italian ibd patient associ amici onlu distribut member mail list social medium platform anonym onlin questionnair investig use telemedicin sociodemograph ibd characterist collect usag patient satisfact trust telemedicin assess likert scale ml tool decis tree dt random forest rf appli identifi determin patient percept telemedicin produc rf rank display two indic incms incnodepur result nine hundr seventyeight ibd patient woman everi italian region complet questionnair among respond person telemedicin experi report centr perform telemedicin servic covid pandem televisit email phonecal dedic websit other overal would trust telemedicin servic would like also anoth hcp eg nutritionist psychologist would like use telemedicin futur answer specif question state thought use possibl use telemedicin would like centr offer facil consid last question output dt variabl found influenc patient willing patient percept use telemedicin treat diseas sinc repres root tree explain result rf rank confirm variabl influenc patient percept highest level incms incnodepurityfigur conclus practic telemedicin manag ibd patient relev throughout itali far less four everi five respond would like use telemedicin machin learn analysi show perceiv use telemedicin servic key point patient would like part usual clinic practic,Negative
22,diagnos patient correctli administ treatment major challeng medic practition critic decis made base diagnosi propos framework intend identifi lung malign untim stage two phase propos framework compris numer step exampl imag extract preprocess binar threshold divis featur extract neural system identif system develop lung cancer detect system base machin learn neural network decreas chanc get harm human earli detect cancer recent past lot progress data mine machin learn techniqu predict variou type diseasesth propos model tool take input ct scan imag predict possibl diseas stage thu tri provid direct medic practition make quick intellig clinic decis help prophylaxi diseas therebi reduc treatment cost,Negative
23,purpos studi aim investig perform multiparametr magnet reson imag mpmri radiom featurebas machin learn ml model classifi gleason grade group gg prostat cancer method retrospect studi total patient histopatholog confirm prostat cancer underw mpmri prostat biopsi includ manual segment radiom featur rf extract tweight appar diffus coeffici high bvalu diffusionweight magnet reson imag dwmri patient split train set test set accord ratio pipelin consid combin two featur select f method six ml classifi develop evalu perform model assess use accuraci sensit precis fmeasur area curv auc result high bvalu dwmrideriv featur combin f method recurs featur elimin rfe classifi random forest achiev highest perform classif prostat cancer five gg accuraci sensit precis fmeasur method also achiev averag auc gg conclus preoper mpmri radiom analysi base ml noninvas approach show good perform classif prostat cancer five gg advanc knowledg herein radiom model base preoper mpmri ml develop classifi prostat cancer gg studi provid evid analysi quantit rf extract high bvalu dwmri imag base combin f method rfe classifi random forest appli multiclass grade prostat cancer accuraci,Negative
24,kidney cancer known one deadliest cancer high morbid mortal rate surviv cancer alway patient first concern thu method need devi find surviv rate achiev goal machin learn model effect provid aid clinician accuraci research paper seer surveil epidemiolog end result databas use provid inform cancer statist three differ approach use paper first experi use regress model second includ multiclass classif model predict surviv rate third use multiti classif end achiev accuraci model predict surviv patient,Positive
25,introduct analyz public percept activ age china mainstream social medium platform determin whether th five year plan develop age career older adult care system issu cpc fulli address public need method origin tweet post weibo januari june contain word age old age extract bidirect encod represent transform bertbas model use gener theme relat percept qualit themat analysi independ review theme label conduct research result find indic public percept revolv around four theme health prevent protect conveni live environ cognit health social integr protect right interest older adult discus studi found although plan align theme lack clear plan financi secur marit life,Positive
26,phrase search encrypt import techniqu cloudbas iot system allow user retriev encrypt iot data contain set consecut keyword play import role cloudbas ehealthcar diagnosi system machin learn applic cloudbas iot system etc howev best knowledg exist phrase search encrypt scheme cannot achiev complet verif search result either cannot verifi whether return file correctli contain queri phrase cannot verifi whether file contain queri phrase return result verif import cloudbas iot applic search result incorrect cloudbas ehealthcar diagnosi system lead misdiagnosi even endang patient life order deal problem articl explor achiev verifi phrase search encrypt cloudbas iot data specif design novel lookup tabl util determin verifi posit relationship among keyword meanwhil adopt twophas queri strategi first queri phase data user know identifi file contain keyword queri phrase gener search trapdoor base identifi next phase second queri phase data user obtain verif inform check whether file contain queri phrase correctli return present secur analysi scheme conduct extens experi result prove high secur effici propos scheme,Positive
27,traffic system fill essenti traffic control equip caus massiv infrastructur damag driver safeti hack explor machin learn method detect realtim lock pick thwart unauthor access electron gather acceleromet gyroscop data train decis tree model detect lock pick analysi reveal standard deviat featur two acceleromet axe adequ achiev robust perform deploy realtim decis tree model offsit test cabinet achiev accuraci,Neutral
28,tailor disast prepared intervent may effect equit yet littl known specif factor associ disast household prepared older adult andor african americanblack ident studi aim ascertain differ import featur machin learn model household disast prepared four group inform cultur tailor intervent recommend nurs practic machin learn model develop test combin data feder emerg manag agenc nation household survey primari outcom variabl composit readi score total variabl particip includ sampl selfidentifi african americanblack report year age older import featur vari regard financi insur prepared inform seek transport group result reiter need target intervent support financi resili equit resourc access notabl older adult black racial ident group tv tv news weather channel prioriti featur household disast prepared addit relianc public transport import among older adult black racial ident highlight prioriti need equiti disast prepared polici,Positive
29,abstract develop anomali detect system video data use machin learn propos system two subsystem featur extract anomali detect develop two featur extract system one use tradit manual step use machin learn ie neural network anomali detect system employ machin learn technolog develop cyberattack detect system result confirm prototyp detect anomal event experiment video data,Neutral
30,crosssect studi aim detect diabet retinopathi dr patient retin scan ophthalmolog exam research make use tailor retin imag togeth opf optimumpath forest rbm restrict boltzmann machin model categor imag accord presenc absenc dr work featur extract retin imag use rbm opf model particular thorough system train phase rbm abl extract featur imag studi includ fifteen distinct trial seri thirti cycl repetit research compris eye diabet patient gender distribut reason balanc averag age year remark rbm model stood top perform highest overal accuraci diagnosi term specif rbm opf model surpass competit correctli categor imag free dr symptom find highlight potenti machin learn particularli rbm model selfidentifi ill potenti machin learn modelsin particular rbm opfto autom diagnosi diabet retinopathi demonstr work result show well rbm model diagnos sensit well appli effici dr screen diagnosi inform may use improv effect system identifi retin ill,Positive
31,artifici intellig make signific transform human live applic medic healthcar field also observ make impact improv overal outcom quest similar process mental health due lack observ chang area suicid prevent last five year emerg bodi empir research appli technolog artifici intellig ai machin learn ml mental health review clinic applic aimlbas tool suicid prevent compel question predict suicid focu research perform broad literatur search identifi articl relev meet object review review avail evid provid brief overview advanc field last five year evid support implement algorithm clinic practic current clinic util limit use electron health record could highli effect conjunct exist tool suicid prevent potenti sourc relev data includ smart devic social network site seriou question data privaci ethic need attent develop new modal suicid research,Positive
32,motiv missens variant play crucial role cancer develop distinguish frequent occur cancer genom rare may provid valuabl insight import function mechan consequ specif common variant confer growth advantag may undergon posit select across differ patient due similar select pressur moreov studi demonstr signific rare mutat aris resist mechan respons drug treatment highlight import understand role recurr rare variant cancer addit exist tool variant predict focu distinguish variant found normal diseas popul often without consid specif diseas context variant aris instead typic build predictor generalis across diseas introduc candrivrc set cancerspecif gradient boost model design distinguish rare recurr cancer variant result curat missens variant data intern cancer genom consortium icgc cancertypespecif model significantli outperform baselin pancanc model achiev maximum leaveonegroupout crossvalid logocv f score candrivrskcm skin cutan melanoma candrivrskca skin adenocarcinoma compar baselin model notabl dna shape properti consist rank among top featur distinguish recurr rare variant across cancer specif recurr missens variant frequent occur dna bend roll potenti implic region prone dna replic error act mutat hotspot avail implement train test data python code avail candrivrc github repositori httpsgithubcomamyfranciscandrivrc,Positive
33,keratoconu problem caus chang shape thick cornea make thinner less resist patient underw refract surgeri laser higher chanc develop diseas corneal thin caus blind requir corneal transplant paper present propos detect earli stage keratoconu refract surgeri candid appli machinelearn algorithm corneal biomechan data differenti normal cornea keratoconu carrier solut aim assist medic diagnosi enabl identif patient potenti risk develop diseas greater accuraci decisionmak resumo ceratocon é um problema que provoca alteraçõ formato e espessura da córnea deixandoa mai fina e meno resistent pacient que foram submetido cirurgia refrativa laser tem uma chanc maior de desenvolv doença pelo afinamento corneano podendo causar cegueira e exigir transplant de córnea est artigo apresenta uma proposta para detectar estágio iniciai de ceratocon em pacient candidato cirurgia refrativa aplicando algoritmo de aprendizagem de máquina em dado ocular e biomecânico da córnea de forma diferenciar córnea normai de portador de ceratocon introdução ceratocon grego keratohorn córnea e kono cone é um problema na córnea olho humano com incidência de aproximadament em caso na população mundial e caracterizas pelo afinamento progressivo e assimétrico da córnea com formato cônico e irregular no estado unido cerca de em pessoa desenvolvem doença kennedi et al de acordo com conselho brasileiro de oftalmologia do transplant de córnea feito brasil são decorrência ceratocon ceratocon é uma da característica mai important se considerar na avaliação préoperatória de pacient candidato para cirurgia refrativa kanellopoulo et al ectasia ocular é nome dado para presença de alteraçõ na curvatura da córnea há muito método conhecido na literatura para detecção da ectasia o principai são anális de índicesindicador topográfico tomográfico e biomecânico randleman et al estudo recent indicam que o índice biomecânico são medida essenciai para analisar fator de risco para ectasia e podem ajudar detectar doença de forma precoc ant mesmo da evolução para o estágio mai avançado da doença levando mudança na córnea objetivo desta pesquisa é investigar característica oftalmológica com base na medida biomecânica e ocular disponibilizada por uma clínica de oftalmologia rio de janeiro contribuição esperada inclui desenvolvimento de um modelo de aprendizagem de máquina de alta precisão para detecção de ceratocon classificador proposto baseias treinamento do dado oriundo de olho normai e portador de ceratocon aplicando variaçõ na técnica e metodologia já explorada na literatura descoberta de conhecimento em base de dado também conhecida como kdd knowledg discoveri databas é uma da área de maior relevância para aplicação de mineração de dado e vária abordagen suport vector machin random forest rede neurai vêm sendo amplament aplicada na medicina e bioinformática na previsão de diagnóstico rohm et al aprendizagem de máquina tornous popular na medicina dada sua capacidad de lidar com dado e de auxiliar diagnóstico médico oh et al detecção de ceratocon é chave para identificação de candidato cirurgia refrativa jiménez et al apresentação problema cirurgia lasik ceratomileos laser situ é um procedimento de cirurgia refrativa indicado para correção da miopia astigmatismo e hipermetropia de comprovada segurança e eficácia kanellopoulo entretanto como qualquer outro tipo de procedimento cirúrgico envolv complicaçõ uma complicação rara ma bastant séria que acomet o pacient pósoperatório é ectasia póslasik conhecida como ceratocon klein et al cirurgia lasik resulta na remoção de tecido corneano ou seja reformula superfíci da córnea para corrigir erro de refração quantidad de tecido da córnea que é removida estroma é chamada de profundidad da ablação ablat depth restant tecido corneano subjacent é chamado de leito estrom residu existem trê camada serem considerada ao realizar lasik retalho flap tick profundidad da ablação ablat depth e leito estrom residu rsb medida da trê camada precisam ser analisada ant que lasik possa ser executado conjunto de dado disponibilizado contém registro de pacient com informaçõ biomecânica ocular distribuída em variávei conjunto de dado informa presença ou não da ectasia ocular sendo registro de olho saudávei e registro de olho portador de ceratocon proposta de solução proposta da pesquisa é desenvolv um modelo classificador para auxiliar na detecção de pacient com risco de desenvolv ectasia ocular pósoperatório da cirurgia de refração esta proposta de solução visa utilizar técnica de aprendizagem de máquina para extrair padrõ oculto na medida coletada solução possibilitará prever com maior eficácia probabilidad de pacient desenvolverem ectasia corneana no estágio iniciai grau e ii da tabela de classificação de amsler krumeich identificando característica mai decisiva para desenvolvimento da doença metodologia proposta para alcanc do objetivo da pesquisa consist na etapa seguir caracterização problema teorização construção modelo classificador e avaliação experiment avaliação experiment modelo avaliação da solução partir da construção modelo ocorr na etapa de experimetação considerandos que apena da instância observada desenvolveram ceratocon serão aplicada técnica de undersampl ou oversampl para tratar desbalanceamento do dado técnica de undersampl diminui quantidad de observaçõ com maior número de instância olho normai e técnica de oversampl replica observaçõ em menor quantidad olho com ceratocon partir da equalização da observaçõ classificador será avaliado quanto à sua matriz de confusão e medida de sensibilidad especificidad acurácia curva roc receiv oper characterist e auc area curv matriz de confusão relaciona o valor de entrada com o resultado previsto pelo classificador segregando em quatro quadrant o verdadeiro positivo verdadeiro negativo falso positivo e falso negativo sensibilidad mede proporção de caso positivo identificado corretament especificidad mede proporção de caso negativo identificado corretament acurácia mede proporção de caso corretament previsto curva roc mede taxon de falso positivo eixo x e taxon de verdadeiro positivo eixo esquema abaixo representa fluxo proposto para treinamento classificador figura fluxo para treinamento classificador proposto partir do resultado obtido serão aplicado test estatístico para comparar desempenho do modelo proposto test de kruskalw possibilitará observar se exist diferença estatística relevant entr o algoritmo utilizado em cada modelo confirmando esta hipótes o test de scottknott e effect size de cohen permitirão analisar magnitud desta diferença possibilitando ranquear o modelo que melhor contribuem com classificador atividad realizada pesquisa encontras na fase inici correspondent contextualização problema e levantamento de estudo semelhant extraído da literatura embora est trabalho indiquem elevado desempenho diagnóstico de ceratocon por meio da aplicação de distinta técnica de aprendizagem de máquina esta pesquisa propões em combinar acurácia de técnica supervisionada na detecção de class previament conhecida com adaptabilidad de técnica nãosupervisionada na detecção de nova class quadro abaixo apresenta uma amostra levantamento realizado quadro amostra de trabalho realizado para diagnóstico de ceratocon autor técnica auc parâmetro alexandru lavric et al cnn topografia da imagen r ambrósio et al rfloocv dado tomográfico pentacam hr biomecânicoscorvi st accardo et al nn dado topográfico legenda nn neural network cnn convolut neural network rf random forest loocv leaveoneout crossvalid consideraçõ finai aplicação de técnica de aprendizagem de máquina vem se consolidado como estratégia fundament diagnóstico de ceratocon desenvolvimento de um modelo analítico de dado para detectar estágio iniciai de ceratocon permit que ferramenta de apoio decisão utilizem como insumo seu dado para garantir uma maior assertividad diagnóstico médico aliado ao alto desempenho esperado em termo de sensibilidad acurácia e especificidad da solução esperas minimizar chanc de complicaçõ pósoperatório em pacient de risco candidato cirurgia refrativa,Negative
34,satellit commun system necessari implement fast effect interfer suppress unknown interfer signal ensur safeti reliabl satellit commun success recognit type interfer prerequisit ensur higheffici antiinterfer paper increment learn method introduc process satellit interfer signal recognit lower hardwar condit requir machin learn algorithm reduc memori consumpt shorten comput time firstli varieti frequenc domain featur extract five kind interfer signal often appear satellit commun system classif featur paramet secondli increment support vector machin learn model propos gert cauwenbergh et al extend multiclass model oneversuson decis tree direct acycl graph respect three improv model use train characterist paramet interfer signal obtain recognit result simul experi show compar convent multicategori support vector machin model propos model littl differ recognit accuraci comput time memori occup train model greatli reduc result consist actual requir satellit commun system,Positive
35,paper propos novel simpl multilay featur learn method imag classif employ extrem learn machin elm propos algorithm compos two stage multilay elm mlelm featur map stage elm learn stage mlelm featur map stage recurs built altern featur map construct maximum pool oper particular input weight construct featur map randomli gener henc need train tune make algorithm highli effici moreov maximum pool oper enabl algorithm invari certain transform elm learn stage elasticnet regular propos learn output weight elasticnet regular help learn compact meaning output weight addit preprocess input data den scaleinvari featur transform oper improv robust invari algorithm evalu effect propos method sever experi conduct three challeng databas compar convent deep learn method relat one propos method achiev best classif result high comput effici,Positive
36,current technolog era machin learn applic becom popular everi day research paper provid inform effect ml techniqu account well audit process get proper result differ ml librari util conclud seaborn matplotlib numpi introduct section research purpos research object develop entir research process develop logist regress machin learn model built literari sourc analyz literatur review section easi gain differ percept base research context effect differ type machin learn algorithm account audit evalu properli develop knowledg level import increas proper attent research paper provid proper inform base ml effect,Negative
37,impact morbid long term lead chronic diseas high mortal rate major peopl suffer realiz chronic natur end stage machin learn integr physician deliv better solut identifi natur diseas earli stage patient diagnos help machin learn techniqu algorithm machin learn algorithm like naïv bayesian network decis tree random forest support vector machin integr patient data diagnos diseas give result patient condit normal abnorm diagnosi medic suggest diseas gener method use diagnosi afford major popul machin learn method overcom limit,Positive
38,paper present concept inform system forecast temperatur regim earth surfac use machin learn forecast base histor data specif area order increas accuraci forecast result analysi featur climat zone carri identifi pattern comparison depend averag monthli temperatur earth surfac countri depend locat climat zone carri analysi sourc scientif public confirm relev chosen research topic histor aspect forecast chang climat indic consid modern method approach temperatur forecast advantag disadvantag analyz overview subject area conduct regular temperatur chang accord climat featur determin comparison temperatur regim countri locat differ climat zone made clariti graph temperatur chang plot averag indic calcul climat zone result studi confirm need adjust temperatur forecast certain area take account locat specif climat zone reveal regular temperatur regim countri indic need individu approach forecast use machin learn method best adapt depend observ climat zone architectur inform system forecast futur temperatur depend climat featur studi territori propos concept form research find accur effect approach predict climat paramet achiev goal sustain develop,Positive
39,outbreak cyanobacteri bloom seriou water environment problem harm bring aquat ecosystem water suppli system cannot underestim import establish accur predict model cyanobacteri bloom concentr challeng issu machin learn techniqu improv predict accuraci larg amount histor monitor data need train model water inconveni geograph locat frequent sensor failur enough histor data train model deal problem fuse model base transfer learn method propos paper studi data water environ larg amount histor monitor data taken sourc domain order learn knowledg cyanobacteri bloom growth characterist train predict model data water environ small amount histor monitor data taken target domain order load model train sourc domain train set target domain use particip interlay finetun train model obtain transfer learn model last transfer learn model fuse convolut neural network obtain predict model variou experi conduct h predict test set target domain result show propos model significantli improv predict accuraci cyanobacteri bloom water environ low data volum,Negative
40,main topic project deep learn educ deep learn method machin learn supervis semisupervis unsupervis problem tri solv tweak improv sever neural network predict student correct question approach adopt solv problem compar differ featur drop rate number hidden layer hidden node withwithout autoencod optim function batch size fulli connect neural network improv auc area curv get better predict result result obtain research includ auc data differ neural network obtain result great basic follow work neural network succeed studi field educ highest accuraci singl output network reach also found optim paramet effici run time without lose perform conclus think network effici still need improv perform,Positive
41,probabilist infer big data scale becom increasingli relev machin learn statist commun introduc first fulli distribut mcmc algorithm base stochast gradient argu stochast gradient mcmc algorithm particularli suit distribut infer individu chain draw minibatch local pool data flexibl amount time jump sync chain greatli reduc commun overhead allow adapt load balanc experi lda wikipedia pubm show rel state art distribut mcmc reduc comput time hour half hour order reach perplex level,Negative
